Date,GLD,IWM,QQQ,TLT
2010-04-07,112.48999786376953,56.54829025268555,42.361812591552734,56.888057708740234
2010-04-08,112.6500015258789,56.49168014526367,42.45764923095703,56.913700103759766
2010-04-09,113.63999938964844,56.83143615722656,42.710269927978516,57.04833984375
2010-04-12,113.01000213623047,57.06605529785156,42.745113372802734,57.34968566894531
2010-04-13,112.69000244140625,57.19549560546875,42.962894439697266,57.535614013671875
2010-04-14,113.02999877929688,58.41707229614258,43.476837158203125,57.131717681884766
2010-04-15,113.6500015258789,58.595035552978516,43.66849136352539,57.195831298828125
2010-04-16,111.23999786376953,57.81032943725586,43.14582061767578,57.612548828125
2010-04-19,111.1500015258789,57.52717971801758,43.119686126708984,57.47146224975586
2010-04-20,111.45999908447266,58.31189727783203,43.33748245239258,57.67665100097656
2010-04-21,112.30999755859375,58.71638870239258,43.58137130737305,58.151119232177734
2010-04-22,111.83999633789062,59.33930587768555,43.825286865234375,57.978031158447266
2010-04-23,113.19000244140625,59.97031784057617,44.00821304321289,57.772865295410156
2010-04-26,112.75,59.74380874633789,43.91241455078125,57.83699035644531
2010-04-27,114.62999725341797,58.37662124633789,42.98030090332031,58.65118408203125
2010-04-28,114.30999755859375,58.47371292114258,43.006439208984375,58.151119232177734
2010-04-29,114.27999877929688,59.7114372253418,43.75559997558594,58.394737243652344
2010-04-30,115.36000061035156,57.96402359008789,42.8931999206543,59.06794738769531
